Tahun Member,Bulan,Kode Owner,Nama Owner,No. Hp Owner,Email,Project/Outlet,Kota,Alamat,Provinsi
2026,August,OWN-00914,Owner Laundry 914,6281300200914,owner914@example.test,Laundry Cerah 914 Outlet 01,Denpasar,"Jl. Outlet Demo No. 1, Denpasar",Bali
2026,August,OWN-00921,Owner Laundry 921,6281300200921,owner921@example.test,Laundry Cerah 921 Outlet 01,Denpasar,"Jl. Outlet Demo No. 1, Denpasar",Bali
2026,August,OWN-90005,Owner Mitra Demo 90005,6281300290005,owner.mitra.demo.90005@example.test,Laundry Mitra Demo 90005 Outlet 01,Denpasar,"Jl. Outlet Demo No. 1, Denpasar",Bali
2026,August,OWN-00905,Owner Laundry 905,6281300200905,owner905@example.test,Laundry Cerah 905 Outlet 01,Denpasar,"Jl. Outlet Demo No. 1, Denpasar",Bali
2026,August,OWN-00002,Owner Laundry 002,6281300200002,owner002@example.test,Laundry Cerah 002 Outlet 01,Gianyar,"Jl. Outlet Demo No. 1, Gianyar",Bali
2026,August,OWN-00002,Owner Laundry 002,6281300200002,owner002@example.test,Laundry Cerah 002 Outlet 02,Gianyar,"Jl. Outlet Demo No. 2, Gianyar",Bali
2026,August,OWN-00002,Owner Laundry 002,6281300200002,owner002@example.test,Laundry Cerah 002 Outlet 03,Gianyar,"Jl. Outlet Demo No. 3, Gianyar",Bali
2026,August,OWN-00902,Owner Laundry 902,6281300200902,owner902@example.test,Laundry Cerah 902 Outlet 01,Gianyar,"Jl. Outlet Demo No. 1, Gianyar",Bali
2026,August,OWN-90006,Owner Mitra Demo 90006,6281300290006,owner.mitra.demo.90006@example.test,Laundry Mitra Demo 90006 Outlet 01,Jakarta Selatan,"Jl. Outlet Demo No. 1, Jakarta Selatan",DKI Jakarta
2026,August,OWN-00911,Owner Laundry 911,6281300200911,owner911@example.test,Laundry Cerah 911 Outlet 01,Jakarta Selatan,"Jl. Outlet Demo No. 1, Jakarta Selatan",DKI Jakarta
2026,August,OWN-00913,Owner Laundry 913,6281300200913,owner913@example.test,Laundry Cerah 913 Outlet 01,Depok,"Jl. Outlet Demo No. 1, Depok",Jawa Barat
2026,August,OWN-00001,Owner Laundry 001,6281300200001,owner001@example.test,Laundry Cerah 001 Outlet 01,Malang,"Jl. Outlet Demo No. 1, Malang",Jawa Timur
2026,August,OWN-90007,Owner Mitra Demo 90007,6281300290007,owner.mitra.demo.90007@example.test,Laundry Mitra Demo 90007 Outlet 01,Malang,"Jl. Outlet Demo No. 1, Malang",Jawa Timur
2026,August,OWN-00901,Owner Laundry 901,6281300200901,owner901@example.test,Laundry Cerah 901 Outlet 01,Malang,"Jl. Outlet Demo No. 1, Malang",Jawa Timur
2026,August,OWN-00912,Owner Laundry 912,6281300200912,owner912@example.test,Laundry Cerah 912 Outlet 01,Malang,"Jl. Outlet Demo No. 1, Malang",Jawa Timur
2026,August,OWN-00004,Owner Laundry 004,6281300200004,owner004@example.test,Laundry Cerah 004 Outlet 01,Deli Serdang,"Jl. Outlet Demo No. 1, Deli Serdang",Sumatera Utara
2026,August,OWN-00904,Owner Laundry 904,6281300200904,owner904@example.test,Laundry Cerah 904 Outlet 01,Deli Serdang,"Jl. Outlet Demo No. 1, Deli Serdang",Sumatera Utara
2026,August,OWN-00003,Owner Laundry 003,6281300200003,owner003@example.test,Laundry Cerah 003 Outlet 01,Medan,"Jl. Outlet Demo No. 1, Medan",Sumatera Utara
2026,August,OWN-00903,Owner Laundry 903,6281300200903,owner903@example.test,Laundry Cerah 903 Outlet 01,Medan,"Jl. Outlet Demo No. 1, Medan",Sumatera Utara
