Tahun Owner,Bulan Owner,Tanggal Owner,Kode Owner,Email Owner,No Hp Owner,Nama Project/Brand,Nama Outlet,No Hp Outlet,Tahun Outlet,Bulan Outlet,Tanggal Outlet,Kelurahan Outlet,Kecamatan Outlet,Kota/Kabupaten Outlet,Provinsi Outlet,Alamat Outlet,PIC/Lead,Waktu Dibagikan,Waktu Mulai Berlangganan,Paket Langganan,Tenor,Waktu Berakhir Berlangganan,Status Langganan
2026,Agustus,03/08/2026,OWN-00921,owner921@example.test,6281300200921,Laundry Cerah 921,Laundry Cerah 921 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Denpasar,Bali,"Jl. Outlet Demo No. 1, Denpasar",Sales Demo 093,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
2026,Agustus,03/08/2026,OWN-00914,owner914@example.test,6281300200914,Laundry Cerah 914,Laundry Cerah 914 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Denpasar,Bali,"Jl. Outlet Demo No. 1, Denpasar",Sales Demo 092,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
2026,Agustus,03/08/2026,OWN-00913,owner913@example.test,6281300200913,Laundry Cerah 913,Laundry Cerah 913 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Depok,Jawa Barat,"Jl. Outlet Demo No. 1, Depok",Sales Demo 092,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
2026,Agustus,03/08/2026,OWN-00912,owner912@example.test,6281300200912,Laundry Cerah 912,Laundry Cerah 912 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Malang,Jawa Timur,"Jl. Outlet Demo No. 1, Malang",Sales Demo 092,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
2026,Agustus,03/08/2026,OWN-00911,owner911@example.test,6281300200911,Laundry Cerah 911,Laundry Cerah 911 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Jakarta Selatan,DKI Jakarta,"Jl. Outlet Demo No. 1, Jakarta Selatan",Sales Demo 092,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
2026,Agustus,03/08/2026,OWN-00905,owner905@example.test,6281300200905,Laundry Cerah 905,Laundry Cerah 905 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Denpasar,Bali,"Jl. Outlet Demo No. 1, Denpasar",Sales Demo 091,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
2026,Agustus,03/08/2026,OWN-00904,owner904@example.test,6281300200904,Laundry Cerah 904,Laundry Cerah 904 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Deli Serdang,Sumatera Utara,"Jl. Outlet Demo No. 1, Deli Serdang",Sales Demo 091,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
2026,Agustus,03/08/2026,OWN-00903,owner903@example.test,6281300200903,Laundry Cerah 903,Laundry Cerah 903 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Medan,Sumatera Utara,"Jl. Outlet Demo No. 1, Medan",Sales Demo 091,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
2026,Agustus,03/08/2026,OWN-00902,owner902@example.test,6281300200902,Laundry Cerah 902,Laundry Cerah 902 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Gianyar,Bali,"Jl. Outlet Demo No. 1, Gianyar",Sales Demo 091,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
2026,Agustus,03/08/2026,OWN-00901,owner901@example.test,6281300200901,Laundry Cerah 901,Laundry Cerah 901 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Malang,Jawa Timur,"Jl. Outlet Demo No. 1, Malang",Sales Demo 091,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
2026,Agustus,03/08/2026,OWN-90007,owner.mitra.demo.90007@example.test,6281300290007,Laundry Mitra Demo 90007,Laundry Mitra Demo 90007 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Malang,Jawa Timur,"Jl. Outlet Demo No. 1, Malang",Sales Demo 001,28/07/2026 00:00,01/01/2273,Business,12 Bulan,27/12/2273,ACTIVE
2026,Agustus,03/08/2026,OWN-90006,owner.mitra.demo.90006@example.test,6281300290006,Laundry Mitra Demo 90006,Laundry Mitra Demo 90006 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Jakarta Selatan,DKI Jakarta,"Jl. Outlet Demo No. 1, Jakarta Selatan",Sales Demo 002,28/07/2026 00:00,31/12/2272,Business,12 Bulan,26/12/2273,ACTIVE
2026,Agustus,03/08/2026,OWN-90005,owner.mitra.demo.90005@example.test,6281300290005,Laundry Mitra Demo 90005,Laundry Mitra Demo 90005 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Denpasar,Bali,"Jl. Outlet Demo No. 1, Denpasar",Sales Demo 001,28/07/2026 00:00,30/12/2272,Business,12 Bulan,25/12/2273,ACTIVE
2026,Agustus,03/08/2026,OWN-00004,owner004@example.test,6281300200004,Laundry Cerah 004,Laundry Cerah 004 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Deli Serdang,Sumatera Utara,"Jl. Outlet Demo No. 1, Deli Serdang",Sales Demo 002,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
2026,Agustus,03/08/2026,OWN-00003,owner003@example.test,6281300200003,Laundry Cerah 003,Laundry Cerah 003 Outlet 01,6282100300001,2026,Agustus,03/08/2026,,,Medan,Sumatera Utara,"Jl. Outlet Demo No. 1, Medan",Sales Demo 001,28/07/2026 00:00,10/07/2026,Pro,12 Bulan,05/07/2027,ACTIVE
2026,Agustus,03/08/2026,OWN-00002,owner002@example.test,6281300200002,Laundry Cerah 002,Laundry Cerah 002 Outlet 03,6282100300003,2026,Agustus,03/08/2026,,,Gianyar,Bali,"Jl. Outlet Demo No. 3, Gianyar",Sales Demo 002,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
2026,Agustus,03/08/2026,OWN-00002,owner002@example.test,6281300200002,Laundry Cerah 002,Laundry Cerah 002 Outlet 02,6282100300002,2026,Agustus,03/08/2026,,,Gianyar,Bali,"Jl. Outlet Demo No. 2, Gianyar",Sales Demo 002,28/07/2026 00:00,,,,,BELUM BERLANGGANAN
